project_id,g_code,s_code,description,month,year,boq,bg_overhead,bg_material,bg_labour,bg_subc,total_budget,ac_overhead,ac_material,ac_labour,ac_subc,total_actual,bg_balance,pg_submit,pg_certificate,pg_submit_bal,progress_percentage,cpi,spi,budget_utilization_pct,progress_cost_ratio,quarter,is_year_end,risk_overrun,risk_progress_lag,purchase_cost,forecast,variance_budget,cost_variance_pct,purchase_efficiency,risk_high_variance,risk_forecast_overrun,progress_submit,certificate,submit_balance,project_name,contract_value,start_date,end_date,cost_code_description,date,days_from_start,bcwp,acwp,bcws,schedule_variance,cost_variance,eac,vac,cost_efficiency,progress_efficiency,efficiency_score,cost_risk_score,schedule_risk_score,overall_risk_score,monthly_burn_rate,projected_next_month_cost,cash_flow_3m_forecast,health_status,performance_category,alert_cost_overrun,alert_progress_lag,profit_margin,alert_profit_risk,alert_high_variance,alert_schedule_delay,alert_cash_flow_risk,alert_low_efficiency,alert_forecast_overrun,total_alerts,alert_severity,alert_level
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,1,2024,9904508.25,1607617.93,4978324.69,2509207.51,1879374.45,10974524.59,1873144.4,5903419.5,2333737.03,1801212.16,11911513.1,-936988.51,10083479.13,9682175.55,401303.58,56.12,0.9213375746528794,6.737094837935174,108.5378505676117,0.5170546468951959,1,0,1,1,2696161.05,2487688.55,-1641745.67,-93.40315496723396,0.7539220737574264,1,0,40363962.94,35862914.22,4501048.72,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-01-01,0,6158903.1999079995,11911513.1,914543.7158333331,5244359.484074666,-5752609.900092,11911513.1,-936988.5099999998,0.9213375746528794,6.734400000000001,67.64012723958639,17.075701135223397,0.0,10.245420681134037,11911513.1,13102664.41,39307993.230000004,Healthy,Good,1,1,97.35299708888888,0,1,0,0,0,0,3,High,Red
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,2,2024,13792982.38,1655842.63,5491981.3,3369363.53,3005219.13,13522406.6,1308125.01,4172188.58,2220141.82,1823855.97,9524311.39,3998095.21,9442808.18,8816367.13,626441.05,9.27,1.419777876456011,0.556422569027611,70.43355278194342,0.1316134091474722,1,0,0,1,18960668.95,20836273.89,40053.75,-659.8010008839638,0.928162650611544,0,1,42409056.58,41007736.11,1401320.47,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-02-01,31,1253527.0918199997,9524311.39,2253734.4333333327,-1000207.3415133329,-8270784.298180001,9524311.39,3998095.209999999,1.419777876456011,0.5562,53.717336293680326,14.78322360902829,14.79333333333333,14.787267498750305,4762155.695,5238371.2645000005,15715113.793500002,Healthy,Fair,0,1,97.88348635777778,0,1,1,0,0,0,3,High,Red
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,3,2024,2474692.98,307366.55,1118426.46,535921.65,513884.84,2475599.5,278409.44,720648.4,380927.53,418697.27,1798682.63,676916.87,1757475.44,1645284.37,112191.08,19.23,1.3763403608339733,0.7695078031212484,72.65644665059916,0.2646702513883731,1,0,0,1,12498131.22,12328074.86,-7617090.15,-277.82863572854484,0.7893215934725959,1,0,24335814.36,22778464.48,1557349.88,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-03-01,60,476057.78385,1798682.63,618899.875,-142842.09115,-1322624.8461499999,1798682.63,676916.8700000001,1.3763403608339733,0.7692,56.6742108250192,13.671776674700418,11.54,12.81906600482025,599560.8766666666,659516.9643333333,1978550.893,Healthy,Fair,0,1,99.60029274888889,0,1,1,0,0,0,3,High,Red
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,4,2024,1773272.29,241386.21,929485.06,450678.65,375485.56,1997035.48,167293.06,745336.91,324253.08,270764.39,1507647.45,489388.03,1269290.51,1176248.7,93041.81,93.67,1.3246037593205229,2.811224489795918,75.49427464353312,1.2407563413555338,2,0,0,0,14239072.23,13043379.03,-4791861.46,19.40399845891628,0.8311919729618507,1,0,80039439.03,79211861.94,827577.0900000001,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-04-01,91,1870623.134116,1507647.45,665678.4933333332,1204944.6407826669,362975.6841160001,1507647.45,489388.03,1.3246037593205229,2.8101000000000003,79.73811277961569,12.252862678233441,0.0,7.351717606940064,376911.8625,414603.04875,1243809.14625,Healthy,Good,0,0,99.66496723333333,0,0,0,0,0,0,0,Low,Green
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,5,2024,9836865.98,1564153.28,5383034.69,2665090.94,2329640.26,11941919.17,1577664.83,4989236.55,2039582.15,1866935.46,10473418.98,1468500.19,9988109.19,9045169.7,942939.49,82.18,1.1402121115181434,1.9731092436974793,87.70297998927086,0.9370263132456104,2,0,0,0,6799633.04,5988074.48,-2588841.29,-6.720588938027324,0.7694017720109202,1,0,111963228.58,99920126.58,12043101.99,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-05-01,121,9813869.173906,10473418.98,4975799.654166668,4838069.519739333,-659549.8060940001,10473418.98,1468500.1899999995,1.1402121115181434,1.9723199999999999,73.65276334554432,6.148510005364571,0.0,3.6891060032187424,2094683.796,2304152.1756,6912456.526800001,Healthy,Good,0,0,97.67257356,0,0,0,0,0,0,0,Low,Green
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,6,2024,13435580.25,1644840.87,6108631.52,4269110.49,3447260.35,15469843.24,1552842.79,5202730.64,4423600.22,3013517.88,14192691.53,1277151.71,12106025.72,11193991.04,912034.68,56.14,1.0899865756470788,1.123249299719888,91.7442491808986,0.6119184635682702,2,0,0,1,6452794.46,7139775.69,-2905156.1,-63.42046523138334,0.8905058011099273,1,0,47073577.94,44308012.589999996,2765565.36,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-06-01,152,8684769.994936,14192691.53,7734921.62,949848.3749360004,-5507921.535063999,14192691.530000001,1277151.709999999,1.0899865756470788,1.1228,55.15559726941237,4.127875409550697,0.0,2.476725245730418,2365448.5883333334,2601993.447166667,7805980.341500001,Healthy,Fair,0,1,96.8460685488889,0,1,0,0,0,0,2,Medium,Yellow
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,7,2024,5942419.39,656657.25,2478807.61,1277384.68,1350571.76,5763421.3,512828.44,2139483.44,1144659.74,910648.78,4707620.39,1055800.91,3916723.22,3791576.56,125146.67,59.64,1.2242748612956875,1.02280912364946,81.68100412857203,0.7301575272767481,3,0,0,0,7454770.22,8313446.48,-2060586.67,-36.956747365144246,0.8923097739691298,1,0,37843782.19,34112674.11,3731108.07,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-07-01,182,3437304.46332,4707620.39,3361995.7583333333,75308.7049866668,-1270315.9266799996,4707620.39,1055800.9100000001,1.2242748612956875,1.0224,57.176245838870635,9.159497935713986,0.0,5.495698761428391,672517.1985714285,739768.9184285714,2219306.7552857143,Healthy,Fair,0,0,98.95386213555555,0,1,0,0,0,0,1,Medium,Yellow
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,8,2024,7102297.37,1116852.78,3376601.49,2215035.19,1760037.76,8468527.22,859193.63,2560369.56,1588938.16,1128108.81,6136610.17,2331917.05,5695954.67,5189898.82,506055.85,43.48,1.3800008449941998,0.6524609843937574,72.46372374534327,0.6000243674034782,3,0,0,1,13387484.46,15675853.12,-2704854.57,-66.65989821836084,0.9207401485192834,0,0,67627634.53999999,62835720.379999995,4791914.16,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-08-01,213,3682115.635256,6136610.17,5645684.813333333,-1963569.1780773327,-2454494.534744,6136610.17,2331917.0500000007,1.3800008449941998,0.6522,54.444025349826,13.768138127328363,46.37333333333332,26.81021620973035,767076.27125,843783.8983750001,2531351.6951250006,Caution,Fair,0,1,98.63630885111111,0,1,1,0,0,0,3,High,Red
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,9,2024,6900955.75,1172162.78,4064692.83,2559455.41,1948051.61,9744362.63,992174.51,4288088.69,2922659.15,1963028.78,10165951.13,-421588.5,8537185.01,8002683.68,534501.33,16.15,0.9585293599576844,0.2154195011337868,104.3264861541796,0.154802491633166,3,0,1,1,12869795.51,14485662.76,316631.03,-545.984434391205,0.9421422446517178,0,1,53406904.75,52838817.06,568087.7,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-09-01,244,1573714.5647449999,10165951.13,7308271.9725,-5734557.4077550005,-8592236.565255001,10165951.130000003,-421588.50000000186,0.9585293599576845,0.21533333333333332,33.0625474653972,8.65297230835921,100.0,45.191783385015526,1129550.1255555556,1242505.1381111112,3727515.4143333337,Warning,Poor,1,1,97.74089974888889,0,1,1,0,1,0,5,Critical,Red
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,10,2024,16439491.28,2052165.55,6467580.39,3499772.0,2266799.24,14286317.18,2249086.03,6664260.87,2877293.43,1864801.52,13655441.85,630875.33,12473855.43,11324710.29,1149145.14,73.19,1.046199554502149,0.8786314525810324,95.58405905418935,0.7657134539401227,4,0,0,0,12349107.55,11871996.11,-6345627.67,-30.597156789437562,0.8474002908817487,1,0,86512665.68,80078817.72,6433847.96,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น,450000000,2024-01-01,2025-12-31,งานเตรียมพื้นที่และรื้อถอน,2024-10-01,274,10456155.544042,13655441.85,11905264.316666668,-1449108.7726246677,-3199286.305957999,13655441.85,630875.3300000001,1.046199554502149,0.8782799999999998,48.95158663506447,2.2079704729053233,20.28666666666669,9.43944895040987,1365544.185,1502098.6035000002,4506295.810500001,Healthy,Fair,0,0,96.96545736666667,0,1,0,0,0,0,1,Medium,Yellow
