project_id,g_code,s_code,month,year,total_budget,total_actual,progress_percentage,cpi,spi,budget_utilization_pct,bcwp,acwp,bcws,cost_variance,schedule_variance,eac,vac,efficiency_score,cost_risk_score,schedule_risk_score,overall_risk_score,monthly_burn_rate,projected_next_month_cost,alert_cost_overrun,alert_progress_lag,alert_profit_risk,alert_severity,health_status,performance_category,total_alerts,alert_level,quarter,progress_cost_ratio,contract_value,project_name
PRJ001,G001,,1,2024,10974524.59,11911513.1,56.12,0.9213375746528794,6.737094837935174,108.5378505676117,6158903.1999079995,11911513.1,914543.7158333331,-5752609.900092,5244359.484074666,11911513.1,-936988.5099999998,67.64012723958639,17.075701135223397,0.0,10.245420681134037,11911513.1,13102664.41,1,1,0,High,Healthy,Good,3,Red,1,0.5170546468951959,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,2,2024,13522406.6,9524311.39,9.27,1.419777876456011,0.556422569027611,70.43355278194342,1253527.0918199997,9524311.39,2253734.4333333327,-8270784.298180001,-1000207.3415133329,9524311.39,3998095.209999999,53.717336293680326,14.78322360902829,14.79333333333333,14.787267498750305,4762155.695,5238371.2645000005,0,1,0,High,Healthy,Fair,3,Red,1,0.1316134091474722,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,3,2024,2475599.5,1798682.63,19.23,1.3763403608339733,0.7695078031212484,72.65644665059916,476057.78385,1798682.63,618899.875,-1322624.8461499999,-142842.09115,1798682.63,676916.8700000001,56.6742108250192,13.671776674700418,11.54,12.81906600482025,599560.8766666666,659516.9643333333,0,1,0,High,Healthy,Fair,3,Red,1,0.2646702513883731,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,4,2024,1997035.48,1507647.45,93.67,1.3246037593205229,2.811224489795918,75.49427464353312,1870623.134116,1507647.45,665678.4933333332,362975.6841160001,1204944.6407826669,1507647.45,489388.03,79.73811277961569,12.252862678233441,0.0,7.351717606940064,376911.8625,414603.04875,0,0,0,Low,Healthy,Good,0,Green,2,1.2407563413555338,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,5,2024,11941919.17,10473418.98,82.18,1.1402121115181434,1.9731092436974793,87.70297998927086,9813869.173906,10473418.98,4975799.654166668,-659549.8060940001,4838069.519739333,10473418.98,1468500.1899999995,73.65276334554432,6.148510005364571,0.0,3.6891060032187424,2094683.796,2304152.1756,0,0,0,Low,Healthy,Good,0,Green,2,0.9370263132456104,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,6,2024,15469843.24,14192691.53,56.14,1.0899865756470788,1.123249299719888,91.7442491808986,8684769.994936,14192691.53,7734921.62,-5507921.535063999,949848.3749360004,14192691.530000001,1277151.709999999,55.15559726941237,4.127875409550697,0.0,2.476725245730418,2365448.5883333334,2601993.447166667,0,1,0,Medium,Healthy,Fair,2,Yellow,2,0.6119184635682702,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,7,2024,5763421.3,4707620.39,59.64,1.2242748612956875,1.02280912364946,81.68100412857203,3437304.46332,4707620.39,3361995.7583333333,-1270315.9266799996,75308.7049866668,4707620.39,1055800.9100000001,57.176245838870635,9.159497935713986,0.0,5.495698761428391,672517.1985714285,739768.9184285714,0,0,0,Medium,Healthy,Fair,1,Yellow,3,0.7301575272767481,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,8,2024,8468527.22,6136610.17,43.48,1.3800008449941998,0.6524609843937574,72.46372374534327,3682115.635256,6136610.17,5645684.813333333,-2454494.534744,-1963569.1780773327,6136610.17,2331917.0500000007,54.444025349826,13.768138127328363,46.37333333333332,26.81021620973035,767076.27125,843783.8983750001,0,1,0,High,Caution,Fair,3,Red,3,0.6000243674034782,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,9,2024,9744362.63,10165951.13,16.15,0.9585293599576844,0.2154195011337868,104.3264861541796,1573714.5647449999,10165951.13,7308271.9725,-8592236.565255001,-5734557.4077550005,10165951.130000003,-421588.50000000186,33.0625474653972,8.65297230835921,100.0,45.191783385015526,1129550.1255555556,1242505.1381111112,1,1,0,Critical,Warning,Poor,5,Red,3,0.154802491633166,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
PRJ001,G001,,10,2024,14286317.18,13655441.85,73.19,1.046199554502149,0.8786314525810324,95.58405905418935,10456155.544042,13655441.85,11905264.316666668,-3199286.305957999,-1449108.7726246677,13655441.85,630875.3300000001,48.95158663506447,2.2079704729053233,20.28666666666669,9.43944895040987,1365544.185,1502098.6035000002,0,0,0,Medium,Healthy,Fair,1,Yellow,4,0.7657134539401227,450000000,โครงการก่อสร้างอาคารสำนักงาน 15 ชั้น
