project_id,g_code,s_code,description,month,year,boq,budget,cost_saving,purchase_cost,pr_pending,budget_balance_pu,actual_cost_ac,unbook,actual_cost_all,budget_balance_ac,purchase_balance,forecast,to_be_order,variance_budget,finance_cost,finance_balance,cost_variance_pct,purchase_efficiency,risk_high_variance,risk_forecast_overrun
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,1,2024,3525904.39,3674441,222665.89,2696161.05,194017.37,978279.95,1917565.45,115129.88,2032695.33,1641745.67,663465.72,2487688.55,978279.95,-1641745.67,48853.93,3625587.07,-44.680147810238346,0.7539220737574264,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,2,2024,17659937.15,17558531,-631283.23,18960668.95,1369325.83,-1402137.95,16223760.69,1374824.06,17598584.75,-40053.75,1362084.21,20836273.89,0.0,40053.75,363200.13,17195330.87,0.2281156094436374,0.928162650611544,0,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,3,2024,15925850.52,17482135,399956.81,12498131.22,1124799.63,4984003.78,8999529.14,865515.71,9865044.85,7617090.15,2633086.37,12328074.86,4984003.78,-7617090.15,443222.69,17038912.31,-43.570708897969276,0.7893215934725959,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,4,2024,15723635.95,16627264,1339263.91,14239072.23,1022918.77,2388191.77,10789179.59,1046222.94,11835402.54,4791861.46,2403669.7,13043379.03,2388191.77,-4791861.46,439960.82,16187303.18,-28.81930220149268,0.8311919729618507,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,5,2024,8576011.1,7820491,-156544.5,6799633.04,642356.5,1020857.96,4947978.84,283670.88,5231649.71,2588841.29,1567983.33,5988074.48,1020857.96,-2588841.29,122105.26,7698385.74,-33.103308858740455,0.7694017720109202,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,6,2024,8304780.21,8651407,588080.31,6452794.46,737498.99,2198612.54,5405952.86,340298.03,5746250.9,2905156.1,706543.57,7139775.69,2198612.54,-2905156.1,281278.57,8370128.43,-33.58015753969268,0.8905058011099273,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,7,2024,8649684.74,8712551,499337.45,7454770.22,578506.41,1257780.78,6300311.14,351653.19,6651964.33,2060586.67,802805.89,8313446.48,1257780.78,-2060586.67,224789.84,8487761.16,-23.650784597989727,0.8923097739691298,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,8,2024,14282716.43,15031249,428448.24,13387484.46,1231947.47,1643764.54,11721759.09,604635.34,12326394.43,2704854.57,1061090.03,15675853.12,1643764.54,-2704854.57,323602.95,14707646.05,-17.99487567533476,0.9207401485192834,0,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,9,2024,10864068.18,11808547,-271488.98,12869795.51,1697255.06,-1061248.51,11119501.42,1005676.62,12125178.03,-316631.03,744617.48,14485662.76,0.0,316631.03,554732.23,11253814.77,2.681371637001572,0.9421422446517178,0,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,10,2024,15267675.64,16810265,-790655.3,12349107.55,1662475.01,4461157.45,9705370.68,759266.64,10464637.33,6345627.67,1884470.22,11871996.11,4461157.45,-6345627.67,428212.92,16382052.08,-37.748528473524956,0.8474002908817487,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,11,2024,7423692.26,7660635,-53205.64,6034106.55,487346.1,1626528.45,5017049.97,270361.15,5287411.12,2373223.88,746695.42,6340885.76,1626528.45,-2373223.88,140490.37,7520144.63,-30.979466845764094,0.8762541854684353,1,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,12,2024,14240225.22,13248825,919727.94,11929152.8,1060169.07,1319672.2,8071962.96,633759.12,8705722.08,4543102.92,3223430.72,11312969.59,1319672.2,-4543102.92,217340.39,13031484.61,-34.29061007296873,0.72978544461263,1,0
PRJ001,G002,,งานขุดดินและฐานราก,1,2024,18680047.75,19987397,109100.58,15793197.62,2119552.46,4194199.38,10124144.73,789385.59,10913530.32,9073866.68,4879667.3,12095383.67,4194199.38,-9073866.68,443596.07,19543800.93,-45.39794091246599,0.6910272753238682,1,0
PRJ001,G002,,งานขุดดินและฐานราก,2,2024,20750131.62,19304614,291133.2,18965608.09,1068179.61,339005.91,11448141.4,1120359.98,12568501.38,6736112.62,6397106.71,15322561.98,339005.91,-6736112.62,337013.0,18967601.0,-34.89379595986742,0.6626996255726173,1,0
PRJ001,G002,,งานขุดดินและฐานราก,3,2024,11290854.0,12500936,278224.82,13469040.98,908326.64,-968104.98,9660594.88,617566.63,10278161.51,2222774.49,3190879.47,11966425.77,0.0,-2222774.49,387476.32,12113459.68,-17.780864488867078,0.7630952734691285,0,0
PRJ001,G002,,งานขุดดินและฐานราก,4,2024,3174066.51,3090565,115069.95,2435828.19,251774.64,654736.81,1652843.58,117958.57,1770802.15,1319762.85,665026.04,2055803.8,654736.81,-1319762.85,80381.84,3010183.16,-42.70296369757634,0.7269815487273755,1,0
PRJ001,G002,,งานขุดดินและฐานราก,5,2024,5020970.59,5149527,-30691.17,4543140.73,661565.36,606386.27,3438090.29,219317.05,3657407.33,1492119.67,885733.4,4357461.74,606386.27,-1492119.67,116617.82,5032909.18,-28.975858753629215,0.8050394093779261,1,0
PRJ001,G002,,งานขุดดินและฐานราก,6,2024,18437760.94,17145539,1311397.16,18606468.29,1584159.75,-1460929.29,13483946.36,1278343.78,14762290.14,2383248.86,3844178.15,18745391.22,0.0,-2383248.86,353427.06,16792111.94,-13.90011046021942,0.7933956036102755,0,0
PRJ001,G002,,งานขุดดินและฐานราก,7,2024,9884706.28,9846370,104566.72,10534104.67,1476174.64,-687734.67,8792233.11,601275.76,9393508.87,452861.13,1140595.8,10890711.39,0.0,-452861.13,383444.96,9462925.04,-4.599269883215845,0.8917235174956734,0,1
PRJ001,G002,,งานขุดดินและฐานราก,8,2024,17854883.56,19365398,1200300.71,17980798.18,2586326.46,1384599.82,11593044.37,855206.1,12448250.47,6917147.53,5532547.72,15425319.16,1384599.82,-6917147.53,464393.69,18901004.31,-35.71910853575021,0.6923080024248401,1,0
PRJ001,G002,,งานขุดดินและฐานราก,9,2024,18819591.59,19348419,-73334.09,13861282.44,1322951.33,5487136.56,11815042.41,922813.56,12737855.97,6610563.03,1123426.47,14063698.3,5487136.56,-6610563.03,627833.51,18720585.49,-34.165907974186425,0.918952198336419,1,0
PRJ001,G002,,งานขุดดินและฐานราก,10,2024,15429304.66,16374875,-737034.28,17353603.09,1263157.69,-978728.09,11703158.79,741400.41,12444559.2,3930315.8,4909043.88,14746319.26,0.0,-3930315.8,438992.8,15935882.2,-24.002111771845584,0.7171167356692149,1,0
PRJ001,G002,,งานขุดดินและฐานราก,11,2024,15446425.42,15299569,343583.15,13402615.92,952913.04,1896953.08,11328252.99,833194.82,12161447.82,3138121.18,1241168.11,15302648.76,1896953.08,-3138121.18,573325.99,14726243.01,-20.51117374613625,0.9073935933545726,1,0
PRJ001,G002,,งานขุดดินและฐานราก,12,2024,6701073.68,6551300,-147696.05,5066539.63,461213.49,1484760.37,4343476.05,415067.9,4758543.95,1792756.05,307995.68,5845750.45,1484760.37,-1792756.05,205964.28,6345335.72,-27.364890174469192,0.939209854754457,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,1,2024,17437957.9,19176538,341693.2,18386792.36,1711641.04,789745.64,12234737.05,1076612.51,13311349.56,5865188.44,5075442.8,16442851.95,789745.64,-5865188.44,589029.15,18587508.85,-30.58523097339051,0.7239625759280615,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,2,2024,19032899.79,17795017,1116005.25,16532575.36,1164472.49,1262441.64,13290887.72,776958.69,14067846.41,3727170.59,2464728.95,16923724.06,1262441.64,-3727170.59,542139.92,17252877.08,-20.94502404802423,0.8509168174751934,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,3,2024,18655905.46,18159071,1781617.56,12886188.11,1731690.57,5272882.89,10819836.17,885971.72,11705807.89,6453263.11,1180380.22,14862069.51,5272882.89,-6453263.11,530451.9,17628619.1,-35.537407778184246,0.9083995817906775,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,4,2024,6072110.97,6632201,-193329.74,4955443.27,473448.64,1676757.73,3363301.59,312189.66,3675491.25,2956709.75,1279952.02,4353683.66,1676757.73,-2956709.75,150712.65,6481488.35,-44.581123973775824,0.7417078654196763,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,5,2024,14427995.49,15471189,810985.77,13569977.35,1230980.09,1901211.65,8980337.22,825713.22,9806050.44,5665138.56,3763926.91,12282149.96,1901211.65,-5665138.56,314446.45,15156742.55,-36.617344407078214,0.7226283572241924,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,6,2024,2744974.75,2497613,52911.89,2690933.62,290679.12,-193320.62,1757700.1,161442.81,1919142.91,578470.09,771790.71,2433206.6,0.0,-578470.09,42994.1,2454618.9,-23.16091764416665,0.71318849923916,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,7,2024,7306420.16,7359926,173552.27,6806024.7,625255.58,553901.3,4742829.0,446672.35,5189501.35,2170424.65,1616523.34,5920259.46,553901.3,-2170424.65,229004.83,7130921.17,-29.48976185358385,0.7624864114877513,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,8,2024,16630448.04,17352533,1052095.53,18546768.86,1917538.31,-1194235.86,15703689.4,1026990.65,16730680.05,621852.95,1816088.81,19281822.74,0.0,-621852.95,538004.37,16814528.63,-3.5836436674691816,0.9020805821375832,0,1
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,9,2024,2855309.04,3013579,-57447.78,2947829.99,305266.14,65749.01,2612084.52,161220.14,2773304.66,240274.34,174525.32,3541108.81,65749.01,-240274.34,111589.89,2901989.11,-7.973055957716721,0.940795320424839,0,1
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,10,2024,12755523.16,12966760,-59996.76,14209323.63,1565162.76,-1242563.63,8607771.04,551877.33,9159648.37,3807111.63,5049675.26,11495518.85,0.0,-3807111.63,350950.77,12615809.23,-29.36054673642452,0.6446224048737497,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,11,2024,3186412.07,2898723,287212.97,2723424.93,153467.56,175298.07,1911826.8,147077.62,2058904.42,839818.58,664520.51,2342971.84,175298.07,-839818.58,63900.02,2834822.98,-28.972019058047284,0.7559982275700178,1,0
PRJ001,G003,,งานคอนกรีตและโครงสร้าง,12,2024,21035157.4,19800691,-507671.66,21775526.34,1593969.09,-1974835.34,19026123.01,1657650.16,20683773.17,-883082.17,1091753.17,23901903.8,0.0,883082.17,901615.82,18899075.18,4.4598553151503655,0.9498632936373836,0,1
